id,name,type,tags,prompt
NC-011,RAM Cache,Utility,,"Cyberpunk card art. A fully-charged RAM battery pack glows at maximum capacity, all indicator cells lit with bright violet-white light. Standard finish — bright violet glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-012,Stack Trace,Utility,,"Cyberpunk card art. A data-cascade fans out from a draw pile, two glowing cards lifting cleanly upward as if selected by an invisible hand. Standard finish — violet glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-013,Reorder Buffer,Utility,,"Cyberpunk card art. A buffer queue of two glowing data-cards re-orders itself — positional arrows showing the sequence adjustment. Standard finish — violet glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-014,Shield Injector,Defense,Firewall,"Cyberpunk card art. A narrow injector fires a stream of cyan energy into a forming shield panel; a second wave of pre-loaded blue hex-tiles queues behind it, ready for next turn. Firewall accent: two cascading hex-tile waves, first active and second pre-loading. Standard finish — cyan and electric-blue dual glow. Defense colour #00CCDD. Dark background. No text. No card border. Portrait."
NC-015,Overclock Ping,Utility,Overclocked,"Cyberpunk card art. A single overclock charge surges through a circuit node — blazing gold and orange arcs crackling outward from the point of overload. Overclocked accent: blazing gold/orange aura with visible circuit crackle. Standard finish — violet and gold dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-016,Hardening Routine,Defense,Firewall,"Cyberpunk card art. A shield surface is reinforced by sequential layers of circuit-traces tightening and thickening over it, each layer more opaque than the last. Standard finish — solid cyan glow, layered depth. Defense colour #00CCDD. Dark background. No text. No card border. Portrait."
NC-017,Nano Drip,Support,Nanoflow,"Cyberpunk card art. A slow nano-IV drip of glowing bioluminescent green fluid feeds a constant trickle of healing energy — a medical tube in a cyberpunk aesthetic. Nanoflow accent: slow calm drip-stream of warm amber-green. Standard finish — green/teal dual glow. Support colour #00FF88. Dark background. No text. No card border. Portrait."
NC-018,Leak Tap,Attack,Leak,"Cyberpunk card art. Dark iridescent fluid bleeds from hairline cracks in an enemy chassis, collected in a glowing reservoir below as a drain-attack. Leak accent: iridescent dark liquid draining from system cracks. Standard finish — red and dark-iridescent dual glow. Attack colour #CC2200. Dark background. No text. No card border. Portrait."
NC-019,Hook Script,Utility,,"Cyberpunk card art. A thin hook-line of circuit code snags an enemy data-packet, reeling it in toward the player's side — 4 damage represented as pulled fragments. Standard finish — violet glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-020,Focus Cycle,Utility,,"Cyberpunk card art. A magnifying data-lens focuses on a glowing card icon, reducing its RAM cost — a visible cost-reduction ripple passing over it. Standard finish — violet glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-021,Cleanup,Utility,,"Cyberpunk card art. A single card being fed into a removal slot and incinerated — digital ember particles floating upward as it dissolves. Standard finish — violet and amber dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-022,Firewall Top-Up,Defense,Firewall,"Cyberpunk card art. An already-formed hexagonal barrier receives a fresh charge injection, each hex-tile brightening as the new energy flows in. Firewall accent: lit-up injection point on the existing barrier. Standard finish — cyan dual glow. Defense colour #00CCDD. Dark background. No text. No card border. Portrait."
NC-023,RAM Transfusion,Utility,,"Cyberpunk card art. A transfusion tube connects a draining RAM gauge on one side to a filling HP bar on the other — a direct resource conversion tradeoff. Standard finish — violet glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-024,Blood Battery,Utility,,"Cyberpunk card art. A crimson HP droplet flows into a battery cell and converts to violet RAM charge — a blood-to-battery conversion tube with dual indicators. Standard finish — red and violet dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-025,Zero-Day Injector,Attack,Exploit;OneShot,"Cyberpunk card art. A matte-black syringe loaded with volatile red exploit code fires its singular devastating payload into an open data-port on a target chassis. Exploit accent: a broken digital padlock shattering at impact. OneShot accent: a single glowing countdown ring — one charge only. Standard finish — hot red/orange dual glow. Attack colour #CC2200. Dark background. No text. No card border. Portrait."
NC-026,Logic Bomb,Attack,Exploit;Volatile,"Cyberpunk card art. A compact black device detonates in a radial shockwave of fragmented red data expanding outward, circuit debris caught mid-blast. Exploit accent: broken lock fragments in the blast. Volatile accent: unstable arcing electricity at the outer ring. Standard finish — red/orange dual glow. Attack colour #CC2200. Dark background. No text. No card border. Portrait."
NC-027,Packet Spike,Attack,Exploit;Volatile,"Cyberpunk card art. A jagged data-spike punches through a dark panel and draws a single glowing card from behind it, sparks flying from the entry point. Exploit + Volatile accent: unstable arcing sparks around the spike. Standard finish — red and violet dual glow. Attack colour #CC2200. Dark background. No text. No card border. Portrait."
NC-028,Rootkit Stab,Attack,Exploit;OneShot,"Cyberpunk card art. A shadowed hand drives a circuit-etched blade into a system port in a close-up stealth strike — silhouette figure, minimal ambient glow. Exploit accent: broken-lock residue on the blade. OneShot accent: a single slash glow line fading. Standard finish — deep red glow. Attack colour #CC2200. Dark background. No text. No card border. Portrait."
NC-029,Kill Switch,Attack,Exploit;OneShot;Tradeoff,"Cyberpunk card art. A massive red kill-switch button is slammed down; the target silhouette below dissolves into static while red sparks fly back at the attacker. Exploit: broken lock. OneShot: countdown ring on button. Tradeoff: red sparks returning toward the user. Standard finish — hot red/orange dual glow. Attack colour #CC2200. Dark background. No text. No card border. Portrait."
NC-030,Emergency Shield,Defense,Patch;Volatile,"Cyberpunk card art. A desperate reactive barrier snaps up at the last moment, glowing rings rippling outward from the impact site where it was just formed. Patch accent: nano-stitches knitting the barrier together. Volatile accent: crackling unstable arcs at the rim. Standard finish — cyan and electric-blue dual glow. Defense colour #00CCDD. Dark background. No text. No card border. Portrait."
NC-031,Disposable Barrier,Defense,Patch;OneShot,"Cyberpunk card art. A thick single-use barrier crystallises fully — dense and opaque — with a visible fuse-ring countdown glowing at its base. Patch accent: nano-stitch seams visible on the surface. OneShot accent: fuse-ring counting down. Standard finish — cyan dual glow. Defense colour #00CCDD. Dark background. No text. No card border. Portrait."
NC-032,Failsafe Rollback,Defense,Patch;OneShot,"Cyberpunk card art. A defensive barrier and a green healing wave simultaneously expand outward from a single origin point — a split composition with cyan on one side and green on the other. Patch accent: nano-stitches. OneShot: glowing fuse. Standard finish — cyan and green dual glow. Defense colour #00CCDD. Dark background. No text. No card border. Portrait."
NC-033,Burn Notice,Utility,Exploit;Volatile,"Cyberpunk card art. Two glowing cards rush into view as a Volatile card burns away behind them in digital embers. Exploit accent: broken-lock trace. Volatile accent: arcing sparks from the burning card. Standard finish — violet and amber dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-034,Crash Dump,Utility,Exploit;Volatile,"Cyberpunk card art. Three data-cards rushing into the hand as one overloaded card crashes and discards in a burst of static. Exploit + Volatile accent: unstable arcing sparks from the crash. Standard finish — violet dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-035,Exploit Kit,Utility,Exploit;OneShot,"Cyberpunk card art. A sleek toolkit case opens, releasing a supercharge effect — a glowing red-hot boost flows toward the next Attack card icon. Exploit accent: broken-lock element on the toolkit. OneShot accent: single countdown ring on the kit's charge. Standard finish — violet and red dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-036,Overclock Burst,Utility,Overclocked;OneShot;Tradeoff,"Cyberpunk card art. A blazing overclock burst charges RAM on one side while a red HP-cost spark fires back on the other — dual energy flows from a single detonation. Overclocked accent: gold/orange blazing aura. OneShot: glowing fuse. Tradeoff: red HP cost spark. Standard finish — gold/orange and violet dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-037,Ghost Process,Utility,Exploit;Volatile,"Cyberpunk card art. A translucent ghost hand draws a card with one arm and raises a small barrier with the other, barely visible against the dark background. Exploit + Volatile accent: unstable flickering arcs around the ghost figure. Standard finish — violet and cyan dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-038,Blacksite Patch,Support,Patch;OneShot,"Cyberpunk card art. A large pressurised injector delivers a massive single dose of nanite fluid — green energy flooding inward in one decisive burst. Patch accent: nano-stitches rapidly knitting shut. OneShot: single-charge injector with empty indicator after use. Standard finish — green dual glow. Support colour #00FF88. Dark background. No text. No card border. Portrait."
NC-039,Data Wipe,Utility,Exploit;OneShot,"Cyberpunk card art. An entire hand of cards dissolves into fragmenting static while four fresh cards snap cleanly into place from the draw pile. Exploit accent: wipe beam dissolving the old hand. OneShot: single-use wipe emitter. Standard finish — violet dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-040,Deep Scan,Utility,Control;Scry,"Cyberpunk card art. A large glowing eye or camera-lens peers downward through a fanned stack of three translucent card-silhouettes, examining each in detail. Scry accent: eye-and-fanned-stack composition. Standard finish — violet dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-041,Packet Sniffer,Utility,Control;Scry,"Cyberpunk card art. A small sensor probe examines two fanned packet-cards beneath it, a thin scan beam passing over their surfaces. Scry accent: compact probe and small fan of two cards. Standard finish — violet glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-042,Kernel Trace,Utility,Control;Scry,"Cyberpunk card art. Six card-silhouettes spread out in a wide fan beneath a wide-angle scanning lens, each one visible and being analysed. Scry accent: wide-fan and scanning lens at top. Standard finish — violet dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-043,Stack Reorder,Utility,Control;Topdeck,"Cyberpunk card art. Five cards fanned, two of them rising with a spotlight on them while the other three dissolve downward. Topdeck accent: spotlight singling out the top two. Standard finish — violet dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-044,Hot Swap,Utility,Control;Cycle,"Cyberpunk card art. A card feeds back onto the top of a draw pile as two different cards slide out from below — a balanced rotation motion with circular arrows. Cycle accent: rotating exchange arrows. Standard finish — violet dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-045,Cache Line,Utility,Control;Topdeck,"Cyberpunk card art. A single card lifts from the leftmost position of a hand and slides cleanly to the top of a draw pile, one new card emerging in its place. Topdeck accent: card-to-top transit path. Standard finish — violet glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-046,Index Cache,Utility,Control;Retrieve;Topdeck,"Cyberpunk card art. A search-spotlight beam cuts down through a discard pile, locks onto one glowing card, and a tractor-beam carries it to the top of the draw pile. Retrieve + Topdeck accent: spotlight find + tractor-beam lift. Standard finish — violet dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-047,Rapid Recompile,Utility,Control;Retrieve,"Cyberpunk card art. A card from the discard pile re-instantiates in the hand, shimmering into solid form from a semi-transparent ghost state. Retrieve accent: materialising card from ghost-state to solid. Standard finish — violet dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-048,Garbage Collect,Utility,Control;Purge,"Cyberpunk card art. Two data-cards feed into a digital incinerator and dissolve into rising ember-pixel particles. Purge accent: burning ember cascade upward. Standard finish — violet and amber dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-049,Targeted Pull,Utility,Control;Tutor,"Cyberpunk card art. A spotlight beam scans a spread draw pile and locks onto a single glowing Attack-type card, pulling it toward the viewer. Tutor accent: spotlight targeting an Attack card specifically. Standard finish — violet dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-050,Patch Finder,Support,Control;Tutor,"Cyberpunk card art. A spotlight beam scans a spread draw pile and highlights a single glowing Support-type card with green colouring. Tutor accent: spotlight targeting a Support card. Standard finish — green and violet dual glow. Support colour #00FF88. Dark background. No text. No card border. Portrait."
NC-051,Firewall Lookup,Defense,Control;Tutor,"Cyberpunk card art. A spotlight beam scans a spread draw pile and singles out a glowing Defense card marked in cyan. Tutor accent: spotlight on a cyan Defense card. Standard finish — cyan and violet dual glow. Defense colour #00CCDD. Dark background. No text. No card border. Portrait."
NC-052,Wildcard Query,Utility,Control;Tutor,"Cyberpunk card art. A wide search beam sweeps across a full spread of any card type, one single card glowing uniquely brighter than all the rest. Tutor accent: wide omnidirectional search beam. Standard finish — violet dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-053,Defrag,Utility,Control;Shuffle,"Cyberpunk card art. Discard pile cards spiral in a vortex back into a draw pile, one clean card rising out of the top of the newly-shuffled stack. Shuffle accent: circular vortex motion. Standard finish — violet dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-054,Cold Boot,Utility,Control;Shuffle,"Cyberpunk card art. A full hand of cards is swept in a circular motion back into the draw pile, five fresh cards ejecting cleanly from the bottom in their place. Shuffle accent: sweeping circular motion. Standard finish — violet dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-055,Selective Buffer,Utility,Control;Filter,"Cyberpunk card art. Two cards slide in from one side while one card is ejected from the other — a balanced filter gate, the net gain visible. Filter accent: in-out gate composition. Standard finish — violet dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-056,Commit / Revert,Utility,Control;Filter,"Cyberpunk card art. Two cards dissolve on one side as two fresh replacements rise on the other — a symmetric commit/revert exchange with clean lines. Filter accent: symmetric pair exchange. Standard finish — violet dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-057,Priority Interrupt,Utility,Control;Topdeck,"Cyberpunk card art. The very top card of a draw pile is peeled up and examined — a decision moment, the card half-lifted with a yes/no branch visible below. Topdeck accent: top card peeled at decision point. Standard finish — violet glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-058,Daemon Thread,Support,Power;RAM,"Cyberpunk card art. A translucent teal AI daemon figure sits installed and quietly emanates a steady RAM-crystal pulse, one crystal hovering before it at start of each turn. Power accent: calm persistent teal aura. RAM accent: glowing RAM crystal floating. Standard finish — green/teal dual glow. Support colour #00FF88. Dark background. No text. No card border. Portrait."
NC-059,Adaptive Firewall,Defense,Power;Firewall,"Cyberpunk card art. A shield with hex-tiles adding themselves in a slow steady pulse — an installed persistent barrier that grows over time. Power accent: calm steady aura emanating from the barrier. Firewall accent: new hex-tiles materialising each turn. Standard finish — cyan dual glow. Defense colour #00CCDD. Dark background. No text. No card border. Portrait."
NC-060,Packet Leech,Support,Power;Debuff,"Cyberpunk card art. An installed process siphons bonus damage toward each newly-debuffed enemy, a red energy tendril extending from the installed node to the debuffed target. Power accent: steady glow. Debuff accent: debuff stack visible and glowing on target. Standard finish — green/red dual glow. Support colour #00FF88. Dark background. No text. No card border. Portrait."
NC-061,Signal Amplifier,Support,Power;Draw,"Cyberpunk card art. An antenna-like installed node doubles the card-draw signal on the first draw of each turn — two card silhouettes rising instead of one. Power accent: steady radiant aura. Draw accent: doubled card-draw visual. Standard finish — green dual glow. Support colour #00FF88. Dark background. No text. No card border. Portrait."
NC-062,Heat Sink,Defense,Power;Firewall,"Cyberpunk card art. Every Firewall layer radiates slightly brighter from a passive boost aura — a heat sink device installed at the barrier base amplifying each gain. Power accent: persistent glow from base device. Standard finish — cyan dual glow. Defense colour #00CCDD. Dark background. No text. No card border. Portrait."
NC-063,Backdoor Cache,Support,Power;RAM,"Cyberpunk card art. A hidden RAM cache pays out a small credit each time an Attack connects — a tiny battery icon charging each time an orange impact flares. Power accent: steady device glow. RAM accent: small battery incrementally charging. Standard finish — green/violet dual glow. Support colour #00FF88. Dark background. No text. No card border. Portrait."
NC-064,Patch Scheduler,Support,Power;Healing,"Cyberpunk card art. A small scheduled repair node activates automatically at end of each undamaged turn, emitting a quiet green heal pulse. Power accent: calm persistent aura. Healing: soft green repair-node pulse. Standard finish — green dual glow. Support colour #00FF88. Dark background. No text. No card border. Portrait."
NC-065,Exploit Collector,Support,Power;Setup,"Cyberpunk card art. Each time a OneShot or Volatile card fires, a card arc-transfers into the hand from this installed collection node. Power accent: steady aura. Volatile accent: arcing sparks feeding into a rising card. Standard finish — green/violet dual glow. Support colour #00FF88. Dark background. No text. No card border. Portrait."
NC-066,Killchain Protocol,Support,Power;Attack,"Cyberpunk card art. An installed killchain node triggers a bonus red damage strike each time the first damage of a turn connects — a chain of red vectors radiating from the node. Power accent: strong persistent aura. Attack accent: chain-of-damage visual. Standard finish — green/red dual glow. Support colour #00FF88. Dark background. No text. No card border. Portrait."
NC-067,Quarantine Routine,Support,Power;Cleanse,"Cyberpunk card art. At start of each turn a cleansing beam targets and disintegrates one debuff-fragment — a debuff status dissolving under the quarantine beam. Power accent: steady installed aura. Cleanse accent: fragmenting debuff under a white beam. Standard finish — green dual glow. Support colour #00FF88. Dark background. No text. No card border. Portrait."
NC-068,Memory Compression,Support,Power;Hand,"Cyberpunk card art. A card is held in a compressed memory bubble at end of turn — one glowing card preserved in a floating translucent pocket, safe from discard. Power accent: calm glow. Hand: preserved card in hovering memory bubble. Standard finish — green dual glow. Support colour #00FF88. Dark background. No text. No card border. Portrait."
NC-069,Recursive Loop,Support,Power;Deck,"Cyberpunk card art. An installed loop process reaches into the discard and places the top card back onto the draw pile each turn — a recursive cycle arrow connecting discard to draw. Power accent: steady aura. Deck: cycle-loop arrow between piles. Standard finish — green dual glow. Support colour #00FF88. Dark background. No text. No card border. Portrait."
NC-070,Dark Web Broker,Support,Power;Economy,"Cyberpunk card art. A shadowy installed broker figure; credit-streams flow in from dissolving enemy silhouettes each time one is defeated. Power accent: steady aura from the broker. Economy accent: credit-stream flowing from fading enemy. Standard finish — green/gold dual glow. Support colour #00FF88. Dark background. No text. No card border. Portrait."
NC-071,System Watchdog,Support,Power;Control,"Cyberpunk card art. An alert watchdog process intercepts the first enemy heal attempt — a blocking hand materialises over an enemy heal icon, cancelling it. Power accent: steady installed aura. Control accent: blocking hand intercepting heal vector. Standard finish — green dual glow. Support colour #00FF88. Dark background. No text. No card border. Portrait."
NC-072,I/O Prioritiser,Support,Power;Draw,"Cyberpunk card art. When hand is empty this installed device auto-draws 2 cards — an empty-hand indicator triggering a two-card burst from the draw pile. Power accent: steady aura. Draw accent: two cards rushing in to empty hand. Standard finish — green dual glow. Support colour #00FF88. Dark background. No text. No card border. Portrait."
NC-073,RAM Lance,Attack,XCost;Exploit,"Cyberpunk card art. A tight concentrated beam of red-violet energy blasts from a fully-drained RAM gauge across the full width of the frame. XCost accent: RAM meter visibly depleted to zero behind the emitter. Standard finish — red/violet dual glow. Attack colour #CC2200. Dark background. No text. No card border. Portrait."
NC-074,Broadcast Surge,Attack,XCost;Exploit;AOE,"Cyberpunk card art. A radial EMP shockwave blasts outward from a central drained node, disrupting all enemy silhouettes in a full 360-degree ring. XCost: RAM gauge depleted. AOE: circular expanding shockwave. Standard finish — red/orange dual glow. Attack colour #CC2200. Dark background. No text. No card border. Portrait."
NC-075,Dynamic Firewall,Defense,XCost;Firewall,"Cyberpunk card art. A massive hexagonal barrier expands from a fully-spent RAM gauge — the more RAM spent, the taller the wall rises in the frame. XCost: empty RAM meter behind the growing barrier. Firewall: expanding hex-tile wall. Standard finish — cyan dual glow. Defense colour #00CCDD. Dark background. No text. No card border. Portrait."
NC-076,Adaptive Countermeasure,Attack,XCost;Hybrid,"Cyberpunk card art. A split composition: hot-red energy strikes outward on one side while cyan barrier tiles form on the other — both outcomes from a single drained RAM spend. XCost: depleted RAM gauge. Hybrid: red and cyan meeting at the centre seam. Standard finish — red/cyan dual glow. Dark background. No text. No card border. Portrait."
NC-077,Nanite Flood,Support,XCost;Heal,"Cyberpunk card art. A torrent of bioluminescent green nanites floods inward in direct proportion to the RAM spent — the more RAM, the stronger the wave. XCost: RAM gauge draining. Heal: large-scale green nanite flood. Standard finish — green dual glow. Support colour #00FF88. Dark background. No text. No card border. Portrait."
NC-078,Burst Read,Utility,XCost;Draw,"Cyberpunk card art. Data-cards burst outward from a fully-spent RAM gauge — one card per RAM expended, up to six, fanning into a wide arc. XCost: empty RAM meter. Draw: burst-fan of cards. Standard finish — violet dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-079,Cache Investment,Utility,XCost;Setup,"Cyberpunk card art. RAM poured into a time-delayed cache now, with a forward-arrow ghost showing the same amount returning next turn. XCost: current RAM draining. Setup: future-state ghost of RAM returning. Standard finish — violet dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-080,Thread Allocation,Utility,XCost;Setup,"Cyberpunk card art. RAM spent spawning multiple small glowing thread-tokens that appear in the hand — one compact data-thread per RAM point. XCost: RAM draining into spawned threads. Setup: small thread-token cards appearing. Standard finish — violet dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-081,Throttle Protocol,Utility,XCost;Control,"Cyberpunk card art. Throttle-clamp markers stack onto enemy circuits in proportion to RAM spent, each one slowing the target's pulse rate. XCost: RAM draining. Control: throttle clamps locking onto enemy circuit traces. Standard finish — violet dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-082,Packet Leech,Attack,XCost;DebuffSynergy,"Cyberpunk card art. A red energy claw latches onto a debuffed target, siphoning it for damage while recouping a portion of the RAM spent. XCost: RAM draining. DebuffSynergy: debuff stacks visible glowing dimly on target. Standard finish — red/violet dual glow. Attack colour #CC2200. Dark background. No text. No card border. Portrait."
NC-083,Emergency Reimage,Defense,XCost;Tradeoff,"Cyberpunk card art. A towering firewall barrier snaps up rapidly but hairline red cracks spread from its base — the HP cost being paid in real time. XCost: drained RAM. Tradeoff: red stress-fractures at base of barrier. Standard finish — cyan/red dual glow. Defense colour #00CCDD. Dark background. No text. No card border. Portrait."
NC-084,Hard Reset,Utility,XCost;Purge,"Cyberpunk card art. RAM spent causes random cards to incinerate while equal-count fresh cards flood in — purge embers on one side, clean cards on the other. XCost: RAM draining. Purge: ember particles from burning cards. Standard finish — violet/amber dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-085,Dazed Packet,Status,Status;Junk,"Cyberpunk card art. A dazed flickering data-packet with no coherent signal — its display static and corrupted, auto-dissolving at turn end. Status/Junk: corrupted grey palette, glitch-static artefacts, partial pixel voids. Dark background. No text. No card border. Portrait."
NC-086,Burn Stack,Status,Status;Junk,"Cyberpunk card art. A smouldering data-card with persistent orange-red embers eating its surface — it deals damage every turn it sits in the deck. Status/Junk: corrupted grey with orange-ember burn spreading. Dark background. No text. No card border. Portrait."
NC-087,Wound Fragment,Status,Status;Junk,"Cyberpunk card art. An unplayable shattered card fragment with a vivid red crack across its face — drawing it causes pain. Status/Junk: fractured card with red wound-line, grey corrupted palette. Dark background. No text. No card border. Portrait."
