id,name,tier,stackable
F+01,Sticky Handle,F,true
F+02,Follow-Up Override,F,true
F+03,Blood Runtime,F,true
G+01,Functional Reassignment,G,true
G+02,Flesh Economy,G,true
G+03,Controlled Bleed,G,true
G+25,Load Redistribution,G,true
G+05,Irrelevant Suppression,G,true
H+01,Exact Timing,H,true
H+02,Condition Mastery,H,true
H+03,Precision Spend,H,true
H+04,Impact Dampening,H,true
H+05,Conditional Extraction,H,true
H+06,Overclocked Capacity,H,true
I+01,Bleeding Shield,I,true
I+02,Damage Sink,I,true
I+03,Burning Output,I,true
I+04,Total Sacrifice,I,true
I+05,Terminal Loop,I,true
I+06,Directed Stabilisation,I,true
B+06,Firewall Primer,B,true
B+07,Shield Injector,B,true
B+08,Hot Patch,B,true
B+09,Signal Jam,B,true
B+10,Corrode Payload,B,true
B+11,Nanoflow Tap,B,true
B+12,Salvage Tag,B,true
B-11,Firewall Backfeed,B,true
B-12,Spillover Tax,B,true
C+06,Rarity Injector,C,true
C+07,Overvoltage,C,true
C+08,Sympathetic Surge,C,true
C+09,Hand Compiler,C,true
C+10,Shield Bank,C,true
C+11,Target Spoof Burst,C,true
C-11,Entropy Tax,C,true
C-12,Shield Scrubber,C,true
D+07,Freeze Spend,D,true
D+08,RAM Doubler,D,true
E-06,Assimilate Weak,E,true
E+06,Fragment Strong,E,true
F+04,Hot Swap Patch,F,true
G+26,Purge Contract,G,true
G+27,Random Decompiler,G,true
J-06,Bricked (Self-Purge),J,true
J-07,Deadweight Runtime (Self-Purge),J,true
J-08,Meltdown (Self-Purge),J,true
J-09,Network Hop (Self-Purge),J,true
J-10,Hand Lock (Self-Purge),J,true
C-S01,Deterministic Hijack,C,true
C-S02,Topdeck Echo,C,true
C-S03,Cascade Misfire,C,true
C-S04,Background Shielding,C,true
C-S05,Forked Payload,C,true
A-12,Soft Mirror,A,true
A-13,Malware Hardening,A,true
A-14,Hand Strain,A,true
B-13,Beneficial Broadcast,B,true
B-14,Malice Bounce,B,true
B-16,Overclock Bonus,B,true
B-17,Firewall Clean Run,B,true
B-18,Exploit Window,B,true
C-13,Protocol Transcode,C,true
C-15,Security Rewrite,C,true
C-17,Cache Splice,C,true
C-18,Universal Echo,C,true
C-19,Crosswire Mirror,C,true
D-11,Broadcast Buffs,D,true
D-13,Static Recode,D,true
D-14,Dual Channel,D,true
D-15,Purge Corruption,D,true
E-07,Inversion Routing,E,true
E-08,Status Gravity,E,true
E-09,Kernel Condition,E,true
F-06,Gain-to-Give,F,true
F-07,Hurt-to-Harden,F,true
F-08,Corrode-to-Jitter,F,true
G-06,Decay Amplifier,G,true
G-07,Packet Loop,G,true
G-08,Siphon Circuit,G,true
H-08,Perfect Storm,H,true
I-07,Self-Desync,I,true
J-11,Terminal Packet,J,true
J-12,Rewrite: Status Reactor,J,true
