id,name,actMin,actMax,maxHP,rotation,difficultyTier,difficulty,actionsPerTurn,handSize,primaryPurpose,statusRefs,specialAbilities,notes,spawnTable,extra
E_OBSIDIAN_BRUISER_PACK,Obsidian Bruiser Pack,1,1,76,3,Normal,7.6,1,4,Defense/Tank,,[],"Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition.",Firewall Pod: 19% | Corrode Rat: 18% | Leak Wraith: 18% | STOP: 45%,"{""Primary purpose"": ""Defense/Tank"", ""Actions / turn"": 1, ""Difficulty"": ""Normal"", ""Min enemy count"": 2, ""Max enemy count"": 3, ""Spawn table (weights)"": ""Firewall Pod: 19% | Corrode Rat: 18% | Leak Wraith: 18% | STOP: 45%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +12 HP; deepen Tank theme."", ""Special effects"": null, ""Design notes / justification"": ""Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 1"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_GLITCH_RUNNER_NODE,Glitch Runner Node,1,2,65,3,Normal,5.5,1,3,Attack,,[],"Memorisable pool (6) with tiny deck variance (3/6). Plays 1 card/turn, so threat comes from card mix + encounter composition.",Hacker Drone: 34% | Leak Wraith: 18% | Patch Sprite: 18% | STOP: 30%,"{""Primary purpose"": ""Attack"", ""Actions / turn"": 1, ""Difficulty"": ""Normal"", ""Min enemy count"": 2, ""Max enemy count"": 4, ""Spawn table (weights)"": ""Hacker Drone: 34% | Leak Wraith: 18% | Patch Sprite: 18% | STOP: 30%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +14 HP; deepen Attacker theme."", ""Special effects"": null, ""Design notes / justification"": ""Memorisable pool (6) with tiny deck variance (3/6). Plays 1 card/turn, so threat comes from card mix + encounter composition."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 2"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_PULSE_SHAMAN_MK_I,Pulse Shaman Mk I,1,1,41,3,Easy,4.5,1,4,Control,,[],"Memorisable pool (6) with tiny deck variance (3/6). Plays 1 card/turn, so threat comes from card mix + encounter composition.",Signal Imp: 19% | Corrode Rat: 18% | Hacker Drone: 18% | STOP: 45%,"{""Primary purpose"": ""Control"", ""Actions / turn"": 1, ""Difficulty"": ""Easy"", ""Min enemy count"": 2, ""Max enemy count"": 3, ""Spawn table (weights)"": ""Signal Imp: 19% | Corrode Rat: 18% | Hacker Drone: 18% | STOP: 45%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +16 HP; deepen Controller theme."", ""Special effects"": null, ""Design notes / justification"": ""Memorisable pool (6) with tiny deck variance (3/6). Plays 1 card/turn, so threat comes from card mix + encounter composition."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 1"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_ECHO_IMP_MK_II,Echo Imp Mk II,1,1,35,2,Easy,3.1,1,4,Support/Heal,,[],"Memorisable pool (3) with tiny deck variance (2/3). Plays 1 card/turn, so threat comes from card mix + encounter composition.",Patch Sprite: 19% | Corrode Rat: 18% | Firewall Pod: 18% | STOP: 45%,"{""Primary purpose"": ""Support/Heal"", ""Actions / turn"": 1, ""Difficulty"": ""Easy"", ""Min enemy count"": 2, ""Max enemy count"": 3, ""Spawn table (weights)"": ""Patch Sprite: 19% | Corrode Rat: 18% | Firewall Pod: 18% | STOP: 45%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +18 HP; deepen Healer theme."", ""Special effects"": null, ""Design notes / justification"": ""Memorisable pool (3) with tiny deck variance (2/3). Plays 1 card/turn, so threat comes from card mix + encounter composition."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 1"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_VANTA_SENTINEL_PROTOCOL,Vanta Sentinel Protocol,1,1,76,2,Normal,6.8,1,4,Defense/Tank,Firewall,"[""Starts combat with 6 Firewall""]","Memorisable pool (5) with tiny deck variance (2/5). Plays 1 card/turn, so threat comes from card mix + encounter composition.",Firewall Pod: 19% | Corrode Rat: 18% | Leak Wraith: 18% | STOP: 45%,"{""Primary purpose"": ""Defense/Tank"", ""Actions / turn"": 1, ""Difficulty"": ""Normal"", ""Min enemy count"": 2, ""Max enemy count"": 3, ""Spawn table (weights)"": ""Firewall Pod: 19% | Corrode Rat: 18% | Leak Wraith: 18% | STOP: 45%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +12 HP; deepen Tank theme."", ""Special effects"": ""Starts combat with 6 Firewall."", ""Design notes / justification"": ""Memorisable pool (5) with tiny deck variance (2/5). Plays 1 card/turn, so threat comes from card mix + encounter composition."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 1"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_GHOST_DAEMON_SWARM,Ghost Daemon Swarm,1,1,43,3,Easy,3.2,1,3,Attack,,[],"Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition.",Hacker Drone: 19% | Signal Imp: 18% | Patch Sprite: 18% | STOP: 45%,"{""Primary purpose"": ""Attack"", ""Actions / turn"": 1, ""Difficulty"": ""Easy"", ""Min enemy count"": 2, ""Max enemy count"": 3, ""Spawn table (weights)"": ""Hacker Drone: 19% | Signal Imp: 18% | Patch Sprite: 18% | STOP: 45%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +16 HP; deepen Attacker theme."", ""Special effects"": null, ""Design notes / justification"": ""Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 1"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_CIPHER_POD_SHARD,Cipher Pod Shard,1,3,85,3,Hard,15.1,1,3,Attack,,[],"Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition.",Signal Imp: 19% | Firewall Pod: 18% | Hacker Drone: 18% | STOP: 45%,"{""Primary purpose"": ""Attack"", ""Actions / turn"": 1, ""Difficulty"": ""Hard"", ""Min enemy count"": 2, ""Max enemy count"": 3, ""Spawn table (weights)"": ""Signal Imp: 19% | Firewall Pod: 18% | Hacker Drone: 18% | STOP: 45%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +18 HP; deepen Attacker theme."", ""Special effects"": null, ""Design notes / justification"": ""Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 3"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_VANTA_DRONE_MK_III,Vanta Drone Mk III,1,1,38,4,Easy,4.6,1,3,Economy pressure,,[],"Memorisable pool (5) with tiny deck variance (4/5). Plays 1 card/turn, so threat comes from card mix + encounter composition.",Signal Imp: 19% | Patch Sprite: 18% | Leak Wraith: 18% | STOP: 45%,"{""Primary purpose"": ""Economy pressure"", ""Actions / turn"": 1, ""Difficulty"": ""Easy"", ""Min enemy count"": 2, ""Max enemy count"": 3, ""Spawn table (weights)"": ""Signal Imp: 19% | Patch Sprite: 18% | Leak Wraith: 18% | STOP: 45%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +20 HP; deepen Economy theme."", ""Special effects"": null, ""Design notes / justification"": ""Memorisable pool (5) with tiny deck variance (4/5). Plays 1 card/turn, so threat comes from card mix + encounter composition."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 1"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_VANTA_SCOUT_NODE,Vanta Scout Node,1,3,145,3,Elite,18.7,1,4,Mixed threat,Firewall,"[""Starts combat with 6 Firewall""]","Memorisable pool (5) with tiny deck variance (3/5). Plays 1 card/turn, so threat comes from card mix + encounter composition.",Corrode Rat: 19% | Hacker Drone: 18% | Firewall Pod: 18% | STOP: 45%,"{""Primary purpose"": ""Mixed threat"", ""Actions / turn"": 1, ""Difficulty"": ""Elite"", ""Min enemy count"": 2, ""Max enemy count"": 3, ""Spawn table (weights)"": ""Corrode Rat: 19% | Hacker Drone: 18% | Firewall Pod: 18% | STOP: 45%"", ""Dupes rule"": ""Allow"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +20 HP; deepen EliteMixed theme."", ""Special effects"": ""Starts combat with 6 Firewall."", ""Design notes / justification"": ""Memorisable pool (5) with tiny deck variance (3/5). Plays 1 card/turn, so threat comes from card mix + encounter composition."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 3"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_CIPHER_HACKER_SWARM,Cipher Hacker Swarm,1,2,84,2,Hard,9.0,1,4,Control,,[],"Memorisable pool (3) with tiny deck variance (2/3). Plays 1 card/turn, so threat comes from card mix + encounter composition.",Signal Imp: 19% | Patch Sprite: 18% | Firewall Pod: 18% | STOP: 45%,"{""Primary purpose"": ""Control"", ""Actions / turn"": 1, ""Difficulty"": ""Hard"", ""Min enemy count"": 2, ""Max enemy count"": 3, ""Spawn table (weights)"": ""Signal Imp: 19% | Patch Sprite: 18% | Firewall Pod: 18% | STOP: 45%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +12 HP; deepen Controller theme."", ""Special effects"": null, ""Design notes / justification"": ""Memorisable pool (3) with tiny deck variance (2/3). Plays 1 card/turn, so threat comes from card mix + encounter composition."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 2"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_CIRCUIT_BRUISER_MK_III,Circuit Bruiser Mk III,1,2,56,2,Normal,7.4,1,4,Support/Heal,,[],"Memorisable pool (3) with tiny deck variance (2/3). Plays 1 card/turn, so threat comes from card mix + encounter composition.",Patch Sprite: 19% | Hacker Drone: 18% | Firewall Pod: 18% | STOP: 45%,"{""Primary purpose"": ""Support/Heal"", ""Actions / turn"": 1, ""Difficulty"": ""Normal"", ""Min enemy count"": 2, ""Max enemy count"": 3, ""Spawn table (weights)"": ""Patch Sprite: 19% | Hacker Drone: 18% | Firewall Pod: 18% | STOP: 45%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +12 HP; deepen Healer theme."", ""Special effects"": null, ""Design notes / justification"": ""Memorisable pool (3) with tiny deck variance (2/3). Plays 1 card/turn, so threat comes from card mix + encounter composition."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 2"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_ECHO_ENFORCER_MK_I,Echo Enforcer Mk I,1,1,61,3,Normal,8.0,1,4,Debuff/DoT,,"[""Turn 1: plays 2 cards""]","Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition.",Leak Wraith: 19% | Firewall Pod: 18% | Patch Sprite: 18% | STOP: 45%,"{""Primary purpose"": ""Debuff/DoT"", ""Actions / turn"": 1, ""Difficulty"": ""Normal"", ""Min enemy count"": 2, ""Max enemy count"": 3, ""Spawn table (weights)"": ""Leak Wraith: 19% | Firewall Pod: 18% | Patch Sprite: 18% | STOP: 45%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +18 HP; deepen DoT theme."", ""Special effects"": ""Turn 1: plays 2 cards."", ""Design notes / justification"": ""Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 1"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_CHROME_SAPPER_CREW,Chrome Sapper Crew,1,3,65,2,Normal,4.5,1,3,Attack,,[],"Memorisable pool (4) with tiny deck variance (2/4). Plays 1 card/turn, so threat comes from card mix + encounter composition.",Leak Wraith: 19% | Firewall Pod: 18% | Hacker Drone: 18% | STOP: 45%,"{""Primary purpose"": ""Attack"", ""Actions / turn"": 1, ""Difficulty"": ""Normal"", ""Min enemy count"": 2, ""Max enemy count"": 3, ""Spawn table (weights)"": ""Leak Wraith: 19% | Firewall Pod: 18% | Hacker Drone: 18% | STOP: 45%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +18 HP; deepen Attacker theme."", ""Special effects"": null, ""Design notes / justification"": ""Memorisable pool (4) with tiny deck variance (2/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 2"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_STATIC_POD_PROTOCOL,Static Pod Protocol,1,2,64,3,Normal,4.7,1,4,Control,,[],"Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition.",Signal Imp: 34% | Firewall Pod: 18% | Corrode Rat: 18% | STOP: 30%,"{""Primary purpose"": ""Control"", ""Actions / turn"": 1, ""Difficulty"": ""Normal"", ""Min enemy count"": 2, ""Max enemy count"": 4, ""Spawn table (weights)"": ""Signal Imp: 34% | Firewall Pod: 18% | Corrode Rat: 18% | STOP: 30%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +12 HP; deepen Controller theme."", ""Special effects"": null, ""Design notes / justification"": ""Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 1"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_PULSE_BRUISER_FRAME,Pulse Bruiser Frame,1,2,85,2,Hard,10.9,1,3,Attack,,[],"Memorisable pool (3) with tiny deck variance (2/3). Plays 1 card/turn, so threat comes from card mix + encounter composition.",Signal Imp: 19% | Patch Sprite: 18% | Corrode Rat: 18% | STOP: 45%,"{""Primary purpose"": ""Attack"", ""Actions / turn"": 1, ""Difficulty"": ""Hard"", ""Min enemy count"": 2, ""Max enemy count"": 3, ""Spawn table (weights)"": ""Signal Imp: 19% | Patch Sprite: 18% | Corrode Rat: 18% | STOP: 45%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +12 HP; deepen Attacker theme."", ""Special effects"": null, ""Design notes / justification"": ""Memorisable pool (3) with tiny deck variance (2/3). Plays 1 card/turn, so threat comes from card mix + encounter composition."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 2"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_VECTOR_COURIER_ARRAY,Vector Courier Array,1,2,59,3,Normal,4.9,1,3,Economy pressure,,[],"Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition.",Hacker Drone: 34% | Patch Sprite: 18% | Firewall Pod: 18% | STOP: 30%,"{""Primary purpose"": ""Economy pressure"", ""Actions / turn"": 1, ""Difficulty"": ""Normal"", ""Min enemy count"": 2, ""Max enemy count"": 4, ""Spawn table (weights)"": ""Hacker Drone: 34% | Patch Sprite: 18% | Firewall Pod: 18% | STOP: 30%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +14 HP; deepen Economy theme."", ""Special effects"": null, ""Design notes / justification"": ""Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 2"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_ROGUE_TECH_ARRAY,Rogue Tech Array,1,1,39,2,Easy,3.7,1,4,Debuff/DoT,,[],"Memorisable pool (5) with tiny deck variance (2/5). Plays 1 card/turn, so threat comes from card mix + encounter composition.",Leak Wraith: 19% | Firewall Pod: 18% | Patch Sprite: 18% | STOP: 45%,"{""Primary purpose"": ""Debuff/DoT"", ""Actions / turn"": 1, ""Difficulty"": ""Easy"", ""Min enemy count"": 2, ""Max enemy count"": 3, ""Spawn table (weights)"": ""Leak Wraith: 19% | Firewall Pod: 18% | Patch Sprite: 18% | STOP: 45%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +20 HP; deepen DoT theme."", ""Special effects"": null, ""Design notes / justification"": ""Memorisable pool (5) with tiny deck variance (2/5). Plays 1 card/turn, so threat comes from card mix + encounter composition."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 1"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_GHOST_RUNNER_PROTOCOL,Ghost Runner Protocol,1,2,81,3,Hard,14.0,1,4,Debuff/DoT,,[],"Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition.",Leak Wraith: 19% | Signal Imp: 18% | Firewall Pod: 18% | STOP: 45%,"{""Primary purpose"": ""Debuff/DoT"", ""Actions / turn"": 1, ""Difficulty"": ""Hard"", ""Min enemy count"": 2, ""Max enemy count"": 3, ""Spawn table (weights)"": ""Leak Wraith: 19% | Signal Imp: 18% | Firewall Pod: 18% | STOP: 45%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +14 HP; deepen DoT theme."", ""Special effects"": null, ""Design notes / justification"": ""Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 2"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
